[Version1]
FullName,Value
"Controller.Micro850.Micro850.diMergedArray[1,1]",FALSE
"Controller.Micro850.Micro850.diMergedArray[1,2]",FALSE
"Controller.Micro850.Micro850.diMergedArray[1,3]",FALSE
"Controller.Micro850.Micro850.diMergedArray[2,0]",FALSE
"Controller.Micro850.Micro850.diMergedArray[2,1]",FALSE
"Controller.Micro850.Micro850.diMergedArray[2,2]",FALSE
"Controller.Micro850.Micro850.diMergedArray[2,3]",FALSE
"Controller.Micro850.Micro850.diMergedArray[3,0]",FALSE
"Controller.Micro850.Micro850.diMergedArray[3,1]",FALSE
"Controller.Micro850.Micro850.diMergedArray[3,2]",FALSE
"Controller.Micro850.Micro850.diMergedArray[3,3]",FALSE
"Controller.Micro850.Micro850.diNumArray[0,0]",8
"Controller.Micro850.Micro850.diNumArray[0,1]",2
"Controller.Micro850.Micro850.diNumArray[0,2]",0
"Controller.Micro850.Micro850.diNumArray[0,3]",0
"Controller.Micro850.Micro850.diNumArray[1,0]",2
"Controller.Micro850.Micro850.diNumArray[1,1]",8
"Controller.Micro850.Micro850.diNumArray[1,2]",16
"Controller.Micro850.Micro850.diNumArray[1,3]",0
"Controller.Micro850.Micro850.diNumArray[2,0]",4
"Controller.Micro850.Micro850.diNumArray[2,1]",16
"Controller.Micro850.Micro850.diNumArray[2,2]",256
"Controller.Micro850.Micro850.diNumArray[2,3]",8
"Controller.Micro850.Micro850.diNumArray[3,0]",2
"Controller.Micro850.Micro850.diNumArray[3,1]",32
"Controller.Micro850.Micro850.diNumArray[3,2]",4
"Controller.Micro850.Micro850.diNumArray[3,3]",2
"Controller.Micro850.Micro850.diPrevArray[0,0]",0
"Controller.Micro850.Micro850.diPrevArray[0,1]",0
"Controller.Micro850.Micro850.diPrevArray[0,2]",0
"Controller.Micro850.Micro850.diPrevArray[0,3]",0
"Controller.Micro850.Micro850.diPrevArray[1,0]",0
"Controller.Micro850.Micro850.diPrevArray[1,1]",0
"Controller.Micro850.Micro850.diPrevArray[1,2]",0
"Controller.Micro850.Micro850.diPrevArray[1,3]",0
"Controller.Micro850.Micro850.diPrevArray[2,0]",0
"Controller.Micro850.Micro850.diPrevArray[2,1]",0
"Controller.Micro850.Micro850.diPrevArray[2,2]",0
"Controller.Micro850.Micro850.diPrevArray[2,3]",0
"Controller.Micro850.Micro850.diPrevArray[3,0]",0
"Controller.Micro850.Micro850.diPrevArray[3,1]",0
"Controller.Micro850.Micro850.diPrevArray[3,2]",0
"Controller.Micro850.Micro850.diPrevArray[3,3]",0
Controller.Micro850.Micro850.lose,
Controller.Micro850.Micro850.Prog1.addAnother,
Controller.Micro850.Micro850.Prog1.added,
Controller.Micro850.Micro850.Prog1.addRandom,
Controller.Micro850.Micro850.Prog1.bWait,FALSE
Controller.Micro850.Micro850.Prog1.column,4
Controller.Micro850.Micro850.Prog1.column1,4
Controller.Micro850.Micro850.Prog1.firstRun,
Controller.Micro850.Micro850.Prog1.row,4
Controller.Micro850.Micro850.Prog1.row1,4
Controller.Micro850.Micro850.Prog1.rtrigDown.CLK,FALSE
Controller.Micro850.Micro850.Prog1.rtrigDown.Q,FALSE
Controller.Micro850.Micro850.Prog1.rtrigDown.Redge,FALSE
Controller.Micro850.Micro850.Prog1.rtrigLeft.CLK,FALSE
Controller.Micro850.Micro850.Prog1.rtrigLeft.Q,TRUE
Controller.Micro850.Micro850.Prog1.rtrigLeft.Redge,TRUE
Controller.Micro850.Micro850.Prog1.rtrigRight.CLK,FALSE
Controller.Micro850.Micro850.Prog1.rtrigRight.Q,FALSE
Controller.Micro850.Micro850.Prog1.rtrigRight.Redge,FALSE
Controller.Micro850.Micro850.Prog1.rtrigUp.CLK,FALSE
Controller.Micro850.Micro850.Prog1.rtrigUp.Q,FALSE
Controller.Micro850.Micro850.Prog1.rtrigUp.Redge,FALSE
Controller.Micro850.Micro850.Prog1.Test,TRUE
Controller.Micro850.Micro850.Prog1.value,
Controller.Micro850.Micro850.Prog1.waitTon.ET,T#0s
Controller.Micro850.Micro850.Prog1.waitTon.IN,FALSE
Controller.Micro850.Micro850.Prog1.waitTon.Pdate,T#0s
Controller.Micro850.Micro850.Prog1.waitTon.PT,T#400ms
Controller.Micro850.Micro850.Prog1.waitTon.Q,FALSE
Controller.Micro850.Micro850.Prog1.waitTon.Redge,FALSE
Controller.Micro850.Micro850.Prog1.x,
Controller.Micro850.Micro850.Prog1.y,
Controller.Micro850.Micro850.udiScore,0
